Market Price Type,Center,Variety Name,Grade,Unit,Max Price,Average Price,Min Price
Farm Price,JOHOR BAHRU,AYAM HIDUP,F.A.Q,100 KG,610.00,610.00,610.00
Farm Price,JOHOR BAHRU,BAYAM ,F.A.Q,100 KG,400.00,350.00,300.00
Farm Price,JOHOR BAHRU,BETIK SEKAKI,F.A.Q,100 KG,200.00,190.00,180.00
Farm Price,JOHOR BAHRU,BUNGA KANTAN,F.A.Q,TANGKAI,.50,.50,.50
Farm Price,JOHOR BAHRU,CILI HIJAU,F.A.Q,100 KG,800.00,750.00,700.00
Farm Price,JOHOR BAHRU,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,900.00,850.00,800.00
Farm Price,JOHOR BAHRU,KACANG BENDI,F.A.Q,100 KG,500.00,475.00,450.00
Farm Price,JOHOR BAHRU,KACANG PANJANG HIJAU,F.A.Q,100 KG,550.00,525.00,500.00
Farm Price,JOHOR BAHRU,KANGKUNG,F.A.Q,100 KG,400.00,350.00,300.00
Farm Price,JOHOR BAHRU,KELAPA DIKUPAS,SEDANG,100 BIJI,135.00,135.00,135.00
Farm Price,JOHOR BAHRU,KETOLA / PETOLA SEGI,F.A.Q,100 KG,300.00,290.00,280.00
Farm Price,JOHOR BAHRU,PISANG BERANGAN,F.A.Q,100 KG,200.00,175.00,150.00
Farm Price,JOHOR BAHRU,PISANG MAS,F.A.Q,100 KG,180.00,165.00,150.00
Farm Price,JOHOR BAHRU,SAWI HIJAU,F.A.Q,100 KG,400.00,400.00,400.00
Farm Price,JOHOR BAHRU,TELUR AYAM,A,100 BIJI,39.00,39.00,39.00
Farm Price,JOHOR BAHRU,TELUR AYAM,B,100 BIJI,37.00,37.00,37.00
Farm Price,JOHOR BAHRU,TELUR AYAM,C,100 BIJI,35.00,35.00,35.00
Farm Price,JOHOR BAHRU,TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,200.00,190.00,180.00
Farm Price,JOHOR BAHRU,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,550.00,525.00,500.00
Farm Price,PENDANG,TIMUN HIJAU ,F.A.Q,100 KG,270.00,260.00,250.00
Farm Price,PENDANG,BAYAM ,F.A.Q,100 KG,250.00,220.00,220.00
Farm Price,PENDANG,BETIK SEKAKI,F.A.Q,100 KG,230.00,220.00,220.00
Farm Price,PENDANG,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1100.00,1000.00,1000.00
Farm Price,PENDANG,KACANG BENDI,F.A.Q,100 KG,400.00,350.00,350.00
Farm Price,PENDANG,KACANG PANJANG HIJAU,F.A.Q,100 KG,370.00,350.00,350.00
Farm Price,PENDANG,KANGKUNG,F.A.Q,100 KG,250.00,200.00,200.00
Farm Price,PENDANG,KETOLA / PETOLA SEGI,F.A.Q,100 KG,200.00,180.00,180.00
Farm Price,PENDANG,PISANG BERANGAN,F.A.Q,100 KG,150.00,150.00,150.00
Farm Price,PENDANG,PISANG MAS,F.A.Q,100 KG,150.00,150.00,150.00
Farm Price,PENDANG,SAWI HIJAU,F.A.Q,100 KG,300.00,250.00,250.00
Farm Price,PENDANG,TEMBIKAI MERAH,F.A.Q,100 KG,120.00,110.00,110.00
Farm Price,PENDANG,TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,120.00,110.00,110.00
Farm Price,PENDANG,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,400.00,350.00,350.00
Farm Price,KOTA BHARU,TIMUN HIJAU ,F.A.Q,100 KG,200.00,200.00,200.00
Farm Price,KOTA BHARU,AYAM HIDUP,F.A.Q,100 KG,800.00,800.00,800.00
Farm Price,KOTA BHARU,BAYAM ,F.A.Q,100 KG,380.00,350.00,350.00
Farm Price,KOTA BHARU,BUNGA KANTAN,F.A.Q,TANGKAI,1.00,1.00,1.00
Farm Price,KOTA BHARU,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1100.00,1000.00,1000.00
Farm Price,KOTA BHARU,KACANG BENDI,F.A.Q,100 KG,200.00,180.00,180.00
Farm Price,KOTA BHARU,KACANG PANJANG HIJAU,F.A.Q,100 KG,400.00,350.00,350.00
Farm Price,KOTA BHARU,KANGKUNG,F.A.Q,100 KG,300.00,250.00,250.00
Farm Price,KOTA BHARU,KELAPA DIKUPAS,SEDANG,100 BIJI,150.00,140.00,140.00
Farm Price,KOTA BHARU,KETOLA / PETOLA SEGI,F.A.Q,100 KG,180.00,150.00,150.00
Farm Price,KOTA BHARU,SAWI HIJAU,F.A.Q,100 KG,450.00,400.00,400.00
Farm Price,KOTA BHARU,TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,130.00,120.00,120.00
Farm Price,KOTA BHARU,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,400.00,350.00,350.00
Farm Price,MELAKA TENGAH,TIMUN HIJAU ,F.A.Q,100 KG,260.00,250.00,250.00
Farm Price,MELAKA TENGAH,AYAM HIDUP,F.A.Q,100 KG,560.00,560.00,560.00
Farm Price,MELAKA TENGAH,BAYAM ,F.A.Q,100 KG,170.00,160.00,160.00
Farm Price,MELAKA TENGAH,BELIMBING (B10),F.A.Q,100 KG,140.00,135.00,130.00
Farm Price,MELAKA TENGAH,BUNGA KANTAN,F.A.Q,TANGKAI,1.00,.80,.80
Farm Price,MELAKA TENGAH,CILI HIJAU,F.A.Q,100 KG,900.00,850.00,850.00
Farm Price,MELAKA TENGAH,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,950.00,950.00,900.00
Farm Price,MELAKA TENGAH,CILI MERAH MINYAK,F.A.Q,100 KG,950.00,950.00,900.00
Farm Price,MELAKA TENGAH,KACANG BENDI,F.A.Q,100 KG,300.00,280.00,280.00
Farm Price,MELAKA TENGAH,KACANG PANJANG HIJAU,F.A.Q,100 KG,350.00,350.00,320.00
Farm Price,MELAKA TENGAH,KANGKUNG,F.A.Q,100 KG,170.00,160.00,160.00
Farm Price,MELAKA TENGAH,KELAPA DIKUPAS,SEDANG,100 BIJI,110.00,110.00,110.00
Farm Price,MELAKA TENGAH,KETOLA / PETOLA SEGI,F.A.Q,100 KG,250.00,220.00,220.00
Farm Price,MELAKA TENGAH,PISANG BERANGAN,F.A.Q,100 KG,220.00,220.00,220.00
Farm Price,MELAKA TENGAH,PISANG MAS,F.A.Q,100 KG,150.00,145.00,140.00
Farm Price,MELAKA TENGAH,SAWI HIJAU,F.A.Q,100 KG,300.00,250.00,250.00
Farm Price,MELAKA TENGAH,TELUR AYAM,A,100 BIJI,39.00,39.00,39.00
Farm Price,MELAKA TENGAH,TELUR AYAM,B,100 BIJI,37.00,37.00,37.00
Farm Price,MELAKA TENGAH,TELUR AYAM,C,100 BIJI,35.00,35.00,35.00
Farm Price,MELAKA TENGAH,TEMBIKAI MERAH,F.A.Q,100 KG,230.00,225.00,220.00
Farm Price,MELAKA TENGAH,TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,230.00,225.00,220.00
Farm Price,MELAKA TENGAH,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,500.00,480.00,480.00
Farm Price,KUALA PILAH,TIMUN HIJAU ,F.A.Q,100 KG,180.00,180.00,170.00
Farm Price,KUALA PILAH,BAYAM ,F.A.Q,100 KG,200.00,190.00,180.00
Farm Price,KUALA PILAH,BETIK SEKAKI,F.A.Q,100 KG,200.00,175.00,150.00
Farm Price,KUALA PILAH,CILI HIJAU,F.A.Q,100 KG,650.00,625.00,600.00
Farm Price,KUALA PILAH,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1000.00,975.00,950.00
Farm Price,KUALA PILAH,KACANG BENDI,F.A.Q,100 KG,500.00,475.00,450.00
Farm Price,KUALA PILAH,KACANG PANJANG HIJAU,F.A.Q,100 KG,550.00,525.00,500.00
Farm Price,KUALA PILAH,KANGKUNG,F.A.Q,100 KG,200.00,190.00,180.00
Farm Price,KUALA PILAH,KELAPA DIKUPAS,SEDANG,100 BIJI,150.00,145.00,140.00
Farm Price,KUALA PILAH,KETOLA / PETOLA SEGI,F.A.Q,100 KG,350.00,325.00,300.00
Farm Price,KUALA PILAH,SAWI HIJAU,F.A.Q,100 KG,320.00,310.00,300.00
Farm Price,KUALA PILAH,TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,150.00,135.00,120.00
Farm Price,KUALA PILAH,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,450.00,425.00,400.00
Farm Price,SEREMBAN,TIMUN HIJAU ,F.A.Q,100 KG,280.00,265.00,250.00
Farm Price,SEREMBAN,AYAM HIDUP,F.A.Q,100 KG,560.00,560.00,560.00
Farm Price,SEREMBAN,TELUR AYAM,A,100 BIJI,39.00,39.00,39.00
Farm Price,SEREMBAN,TELUR AYAM,B,100 BIJI,37.00,37.00,37.00
Farm Price,CAMERON HIGHLANDS,TELUR AYAM,C,100 BIJI,35.00,35.00,35.00
Farm Price,CAMERON HIGHLANDS,CILI MERAH MINYAK,F.A.Q,100 KG,850.00,840.00,830.00
